match_id,match_date,bowler,balls_bowled,runs_conceded,wickets_taken,overs_bowled,balls_last_7_days,balls_last_14_days,matches_last_7_days,matches_last_14_days,days_since_last_match,back_to_back_match,short_recovery_flag,overs_last_7_days,overs_last_14_days,fatigue_signal_score,high_recent_workload_flag,high_match_density_flag,high_fatigue_flag,injury_proxy_event
1211672,2020-11-14,A Lyth,6,4,0,1.0,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1211675,2020-11-15,A Lyth,13,22,0,2.17,6,6,1,1,1.0,1,1,1.0,1.0,8.5,False,False,False,0
1527553,2026-03-27,A Zampa,24,26,0,4.0,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1527557,2026-03-29,A Zampa,24,12,0,4.0,24,24,1,1,2.0,0,1,4.0,4.0,11.5,False,False,True,0
1527561,2026-04-02,A Zampa,25,28,0,4.17,48,48,2,2,4.0,0,0,8.0,8.0,19.0,True,False,True,0
1527568,2026-04-09,A Zampa,24,51,0,4.0,25,73,1,3,7.0,0,0,4.17,12.17,12.84,False,True,True,0
1527571,2026-04-11,A Zampa,24,29,0,4.0,24,73,1,3,2.0,0,1,4.0,12.17,14.5,False,True,True,0
959175,2016-02-04,AD Russell,12,31,0,2.0,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
959179,2016-02-05,AD Russell,29,32,0,4.83,12,12,1,1,1.0,1,1,2.0,2.0,10.5,False,False,True,0
959185,2016-02-07,AD Russell,24,24,0,4.0,41,41,2,2,2.0,0,1,6.83,6.83,18.66,False,False,True,0
959191,2016-02-10,AD Russell,24,35,0,4.0,65,65,3,3,3.0,0,0,10.83,10.83,26.16,True,True,True,0
959195,2016-02-11,AD Russell,20,19,0,3.33,89,89,4,4,1.0,1,1,14.83,14.83,40.66,True,True,True,0
959199,2016-02-12,AD Russell,12,20,0,2.0,97,109,4,5,1.0,1,1,16.17,18.17,44.84,True,True,True,0
959205,2016-02-14,AD Russell,20,26,0,3.33,80,121,4,6,2.0,0,1,13.33,20.17,37.66,True,True,True,0
959217,2016-02-20,AD Russell,24,24,0,4.0,20,100,1,5,6.0,0,0,3.33,16.67,14.16,False,True,True,0
959219,2016-02-21,AD Russell,24,37,0,4.0,44,124,2,6,1.0,1,1,7.33,20.67,28.66,False,True,True,0
959221,2016-02-23,AD Russell,24,37,0,4.0,48,124,2,6,2.0,0,1,8.0,20.67,27.0,True,True,True,1
1128821,2018-02-24,AD Russell,19,37,0,3.17,0,0,0,0,732.0,0,0,0.0,0.0,0.0,False,False,False,0
1128823,2018-02-25,AD Russell,18,30,0,3.0,19,19,1,1,1.0,1,1,3.17,3.17,12.84,False,False,True,0
1128829,2018-03-02,AD Russell,24,22,0,4.0,37,37,2,2,5.0,0,0,6.17,6.17,15.34,False,False,True,0
1168821,2019-02-15,AD Russell,18,25,0,3.0,0,0,0,0,350.0,0,0,0.0,0.0,0.0,False,False,False,0
1168823,2019-02-16,AD Russell,18,33,0,3.0,18,18,1,1,1.0,1,1,3.0,3.0,12.5,False,False,True,0
1168827,2019-02-20,AD Russell,19,34,0,3.17,36,36,2,2,4.0,0,0,6.0,6.0,15.0,False,False,True,0
1168829,2019-02-22,AD Russell,12,28,0,2.0,55,55,3,3,2.0,0,1,9.17,9.17,24.84,True,True,True,1
1475240,2025-04-12,AF Milne,27,60,0,4.5,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1475243,2025-04-15,AF Milne,24,32,0,4.0,27,27,1,1,3.0,0,0,4.5,4.5,10.5,False,False,True,0
1354924,2023-02-13,AJ Hosein,25,31,0,4.17,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1354926,2023-02-15,AJ Hosein,24,32,0,4.0,25,25,1,1,2.0,0,1,4.17,4.17,11.84,False,False,True,0
1354937,2023-02-26,AJ Hosein,18,36,0,3.0,0,49,0,2,11.0,0,0,0.0,8.17,3.0,False,False,False,0
1416473,2024-02-18,AJ Hosein,26,39,0,4.33,0,0,0,0,357.0,0,0,0.0,0.0,0.0,False,False,False,0
1416475,2024-02-19,AJ Hosein,24,18,0,4.0,26,26,1,1,1.0,1,1,4.33,4.33,15.16,False,False,True,0
1416479,2024-02-22,AJ Hosein,24,32,0,4.0,50,50,2,2,3.0,0,0,8.33,8.33,19.66,True,False,True,0
1416482,2024-02-25,AJ Hosein,26,30,0,4.33,74,74,3,3,3.0,0,0,12.33,12.33,29.16,True,True,True,0
1416487,2024-02-29,AJ Hosein,24,34,0,4.0,50,100,2,4,4.0,0,0,8.33,16.67,22.66,True,True,True,0
1416493,2024-03-06,AJ Hosein,24,24,0,4.0,24,74,1,3,6.0,0,0,4.0,12.33,12.5,False,True,True,0
1416496,2024-03-08,AJ Hosein,24,23,0,4.0,24,74,1,3,2.0,0,1,4.0,12.33,14.5,False,True,True,0
1416499,2024-03-10,AJ Hosein,25,50,0,4.17,48,98,2,4,2.0,0,1,8.0,16.33,24.0,True,True,True,0
1416501,2024-03-12,AJ Hosein,24,26,0,4.0,73,97,3,4,2.0,0,1,12.17,16.17,32.34,True,True,True,0
1416503,2024-03-15,AJ Hosein,24,35,0,4.0,73,97,3,4,3.0,0,0,12.17,16.17,30.34,True,True,True,1
1475241,2025-04-13,AJ Hosein,24,40,0,4.0,0,0,0,0,394.0,0,0,0.0,0.0,0.0,False,False,False,0
1527555,2026-03-28,AJ Turner,6,5,0,1.0,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1527559,2026-04-01,AJ Turner,19,28,0,3.17,6,6,1,1,4.0,0,0,1.0,1.0,3.5,False,False,False,0
1527564,2026-04-05,AJ Turner,18,16,0,3.0,19,25,1,2,4.0,0,0,3.17,4.17,9.34,False,False,False,0
1354925,2023-02-14,AJ Tye,24,32,0,4.0,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1354927,2023-02-16,AJ Tye,19,35,0,3.17,24,24,1,1,2.0,0,1,4.0,4.0,11.5,False,False,True,0
1354929,2023-02-18,AJ Tye,24,55,0,4.0,43,43,2,2,2.0,0,1,7.17,7.17,19.34,False,False,True,0
1354942,2023-03-03,AJ Tye,25,42,0,4.17,0,24,0,1,13.0,0,0,0.0,4.0,1.5,False,False,False,0
1527554,2026-03-28,AM Hardie,18,37,0,3.0,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1128841,2018-03-11,AP Devcich,6,12,0,1.0,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1128846,2018-03-16,AP Devcich,8,20,0,1.33,6,6,1,1,5.0,0,0,1.0,1.0,3.5,False,False,False,0
1475239,2025-04-12,AS Joseph,27,54,0,4.5,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1475242,2025-04-14,AS Joseph,25,39,0,4.17,27,27,1,1,2.0,0,1,4.5,4.5,12.5,False,False,True,0
1475246,2025-04-19,AS Joseph,18,30,0,3.0,52,52,2,2,5.0,0,0,8.67,8.67,20.34,True,False,True,0
1475248,2025-04-21,AS Joseph,24,36,0,4.0,43,70,2,3,2.0,0,1,7.17,11.67,20.84,False,True,True,0
1475251,2025-04-24,AS Joseph,24,17,0,4.0,42,94,2,4,3.0,0,0,7.0,15.67,20.0,False,True,True,0
1475254,2025-04-27,AS Joseph,25,34,0,4.17,48,91,2,4,3.0,0,0,8.0,15.17,22.0,True,True,True,0
1475259,2025-05-02,AS Joseph,24,31,0,4.0,25,91,1,4,5.0,0,0,4.17,15.17,14.34,False,True,True,0
1475262,2025-05-05,AS Joseph,19,29,0,3.17,24,97,1,4,3.0,0,0,4.0,16.17,14.0,False,True,True,0
1527553,2026-03-27,AS Joseph,24,33,0,4.0,0,0,0,0,326.0,0,0,0.0,0.0,0.0,False,False,False,0
1527556,2026-03-29,AS Joseph,25,39,0,4.17,24,24,1,1,2.0,0,1,4.0,4.0,11.5,False,False,True,0
1527560,2026-04-02,AS Joseph,20,35,0,3.33,49,49,2,2,4.0,0,0,8.17,8.17,19.34,True,False,True,0
1527564,2026-04-05,AS Joseph,16,30,0,2.67,45,69,2,3,3.0,0,0,7.5,11.5,19.5,False,True,True,0
1168839,2019-02-28,AW Summers,26,25,0,4.33,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1168843,2019-03-04,AW Summers,26,37,0,4.33,26,26,1,1,4.0,0,0,4.33,4.33,10.16,False,False,True,0
1293028,2022-02-20,Aamer Azmat,7,3,0,1.17,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1354940,2023-03-01,Aamer Jamal,27,43,0,4.5,0,0,0,0,,0,0,0.0,0.0,0.0,False,False,False,0
1354946,2023-03-07,Aamer Jamal,24,40,0,4.0,27,27,1,1,6.0,0,0,4.5,4.5,10.5,False,False,True,0
1354948,2023-03-08,Aamer Jamal,26,57,0,4.33,51,51,2,2,1.0,1,1,8.5,8.5,25.0,True,False,True,0
1354952,2023-03-12,Aamer Jamal,19,30,0,3.17,50,77,2,3,4.0,0,0,8.33,12.83,21.16,True,True,True,0
