bowler,rows,proxy_events,avg_fatigue_signal,max_fatigue_signal,avg_overs_last_7_days
Shaheen Shah Afridi,88,11,18.261363636363637,45.34,6.3522727272727275
Mohammad Amir,87,11,18.305977011494253,46.34,6.460459770114942
Hasan Ali,95,11,19.204,42.0,6.728315789473685
Haris Rauf,73,8,18.104657534246577,44.0,6.2783561643835615
Imad Wasim,101,8,17.175841584158416,45.0,5.7017821782178215
Sohail Tanvir,58,7,18.41862068965517,42.84,6.33
Shahid Afridi,50,6,16.961199999999998,39.16,5.5806
Wahab Riaz,86,6,21.886046511627907,40.34,7.631976744186047
Mohammad Hasnain,44,6,14.455,34.84,5.034318181818182
Rumman Raees,48,6,15.784999999999998,43.5,5.600833333333333
Mohammad Irfan,51,5,18.732549019607845,48.16,6.503529411764706
Sohail Khan,43,5,14.569767441860465,34.66,5.023255813953488
Naseem Shah,52,5,16.188846153846153,33.0,5.733846153846154
Shadab Khan,96,4,19.032708333333336,44.0,6.479895833333334
CJ Jordan,37,4,13.664324324324324,33.0,4.811891891891892
D Wiese,53,4,14.638867924528302,32.84,4.541132075471698
Faheem Ashraf,86,4,16.996511627906976,42.0,5.573837209302326
Zaman Khan,39,4,19.772820512820513,39.34,6.649230769230769
Junaid Khan,25,3,14.3616,36.84,4.7608
Rashid Khan,28,3,21.090714285714284,38.0,7.340000000000001
Mohammad Wasim,47,3,15.780425531914892,42.66,5.698723404255318
Mir Hamza,32,3,11.800625,31.16,4.1815625
Mohammad Nabi,29,3,17.764827586206895,40.0,6.063448275862069
Yasir Shah,27,3,19.18740740740741,38.34,6.464074074074074
Umaid Asif,47,3,17.929361702127657,39.0,6.24127659574468
TS Mills,29,3,10.660689655172412,32.0,3.7527586206896553
B Muzarabani,15,3,16.722666666666665,33.84,6.1113333333333335
Imran Tahir,42,3,17.16095238095238,42.5,5.925714285714285
Usman Shinwari,38,3,15.495263157894739,35.34,5.25421052631579
Usama Mir,52,3,19.036153846153844,41.84,6.7536538461538465
Ahmed Daniyal,17,3,14.705882352941176,31.5,5.294117647058823
Naveen-ul-Haq,10,2,12.947999999999999,26.0,4.449
Saim Ayub,26,2,10.776153846153846,27.34,3.243846153846154
Mohammad Irfan (4),20,2,18.726,34.0,6.3005
Mohammad Nawaz (3),57,2,21.07894736842105,44.66,6.9298245614035086
Mohammad Ilyas,26,2,10.432307692307692,33.34,3.3603846153846155
Noor Ahmad,8,2,16.375,31.16,6.25
Salman Irshad,40,2,12.9,34.66,4.35
DJ Willey,26,2,15.634615384615385,40.66,5.480769230769231
DJ Bravo,14,2,20.787142857142857,48.5,7.214999999999999
SR Watson,26,2,20.673076923076923,36.34,6.846153846153846
SR Patel,34,2,15.32,37.0,5.0791176470588235
KA Pollard,24,2,11.585833333333333,30.0,3.5220833333333332
SP Narine,17,2,23.71058823529412,38.34,8.178823529411764
Ghulam Mudassar,11,2,14.94,36.0,5.47
Mujeeb Ur Rahman,11,2,19.5,36.84,7.090909090909091
Rahat Ali,28,2,20.429285714285715,39.0,7.053928571428571
Mohammad Nawaz,36,2,14.2,30.5,4.704166666666667
Abbas Afridi,44,2,14.338181818181818,39.34,4.9588636363636365
Zahid Mahmood,15,2,12.921333333333333,34.16,4.677333333333333
T Shamsi,8,2,12.8325,21.66,5.16625
Arshad Iqbal,24,2,11.652500000000002,28.0,4.159583333333333
Abrar Ahmed,34,2,14.741176470588234,32.34,5.2749999999999995
Waqas Maqsood,20,2,11.367,26.0,3.8335
Usman Qadir,15,2,10.136,31.0,3.5346666666666664
AD Russell,17,2,19.342352941176472,44.84,6.4799999999999995
Hunain Shah,13,1,13.566153846153847,31.5,4.398461538461539
Iftikhar Ahmed,40,1,6.1345,22.84,1.62975
Rishad Hossain,11,1,9.44,22.84,3.2427272727272727
Akif Javed,21,1,8.482857142857142,28.0,3.039047619047619
Usman Tariq,15,1,10.456,21.5,3.944666666666667
RP Meredith,7,1,7.642857142857143,21.66,3.0714285714285716
Qais Ahmad,6,1,6.609999999999999,25.66,2.2216666666666667
JO Holder,8,1,14.73,23.34,5.45875
JP Faulkner,12,1,18.43166666666667,36.84,6.528333333333333
JW Hastings,3,1,12.06,21.34,4.113333333333333
S Badree,7,1,10.857142857142858,25.84,3.5
GD Elliott,13,1,15.835384615384616,30.84,4.975384615384616
KK Cooper,6,1,15.030000000000001,28.34,4.89
Azmatullah Omarzai,6,1,16.25,27.0,5.5
Fawad Ahmed,23,1,14.892173913043477,38.0,5.130869565217392
Aamer Yamin,32,1,11.2675,37.34,3.7821875
