bowler,matches,avg_overs_last_7_days,max_overs_last_7_days,avg_matches_last_14_days,total_back_to_back_matches,avg_fatigue_signal_score,max_fatigue_signal_score
DJ Bravo,14,7.214999999999999,16.5,3.0,4,20.787142857142857,48.5
Mohammad Irfan,51,6.503529411764706,16.33,2.7058823529411766,11,18.732549019607845,48.16
Mohammad Amir,87,6.460459770114942,16.17,2.6091954022988504,16,18.305977011494253,46.34
Zulfiqar Babar,18,8.528333333333332,16.0,3.388888888888889,6,24.14,46.0
Shaheen Shah Afridi,88,6.3522727272727275,17.17,2.7045454545454546,14,18.261363636363637,45.34
Imad Wasim,101,5.7017821782178215,16.0,2.871287128712871,18,17.175841584158416,45.0
Ehsan Adil,5,8.565999999999999,17.0,2.0,2,22.532,45.0
AD Russell,17,6.4799999999999995,16.17,2.764705882352941,6,19.342352941176472,44.84
Mohammad Nawaz (3),57,6.9298245614035086,15.33,3.6315789473684212,15,21.07894736842105,44.66
Haris Rauf,73,6.2783561643835615,16.5,2.73972602739726,11,18.104657534246577,44.0
Shadab Khan,96,6.479895833333334,16.5,3.0833333333333335,17,19.032708333333336,44.0
Rumman Raees,48,5.600833333333333,15.5,2.2916666666666665,7,15.784999999999998,43.5
Mohammad Ali,21,5.849047619047619,17.0,2.4761904761904763,2,16.65047619047619,43.5
Sohail Tanvir,58,6.33,16.33,2.7241379310344827,15,18.41862068965517,42.84
Mohammad Wasim,47,5.698723404255318,15.83,2.1702127659574466,5,15.780425531914892,42.66
Imran Tahir,42,5.925714285714285,15.0,2.5714285714285716,9,17.16095238095238,42.5
Faheem Ashraf,86,5.573837209302326,15.5,3.0,14,16.996511627906976,42.0
Hasan Ali,95,6.728315789473685,15.5,2.9263157894736844,17,19.204,42.0
Usama Mir,52,6.7536538461538465,16.17,2.7884615384615383,8,19.036153846153844,41.84
Saeed Ajmal,10,5.7509999999999994,15.17,1.9,2,15.752,41.34
Anwar Ali,48,5.351041666666667,16.83,2.6875,11,16.129166666666666,41.16
DJ Willey,26,5.480769230769231,16.33,2.3461538461538463,2,15.634615384615385,40.66
Wahab Riaz,86,7.631976744186047,15.83,3.313953488372093,20,21.886046511627907,40.34
Mohammad Nabi,29,6.063448275862069,16.33,2.586206896551724,7,17.764827586206895,40.0
Mohammad Sami,36,6.3886111111111115,12.83,3.0555555555555554,6,18.805,39.66
Abbas Afridi,44,4.9588636363636365,15.67,2.159090909090909,6,14.338181818181818,39.34
Zaman Khan,39,6.649230769230769,14.17,3.358974358974359,6,19.772820512820513,39.34
Shahid Afridi,50,5.5806,13.33,2.6,15,16.961199999999998,39.16
Umaid Asif,47,6.24127659574468,13.33,2.6808510638297873,9,17.929361702127657,39.0
Rahat Ali,28,7.053928571428571,12.83,3.142857142857143,7,20.429285714285715,39.0
SW Tait,8,8.9375,13.17,3.25,4,25.5,38.5
Yasir Shah,27,6.464074074074074,12.17,2.962962962962963,7,19.18740740740741,38.34
SP Narine,17,8.178823529411764,13.17,3.411764705882353,6,23.71058823529412,38.34
Fawad Ahmed,23,5.130869565217392,12.0,2.5652173913043477,2,14.892173913043477,38.0
Ihsanullah,15,6.355333333333333,13.5,2.533333333333333,1,17.377333333333333,38.0
Rashid Khan,28,7.340000000000001,12.67,3.107142857142857,7,21.090714285714284,38.0
Zohaib Khan,8,6.75,12.67,2.625,2,19.4375,37.84
Aamer Yamin,32,3.7821875,13.17,1.78125,5,11.2675,37.34
Hassan Khan,34,4.750588235294118,11.83,2.8823529411764706,10,15.471764705882352,37.34
SR Patel,34,5.0791176470588235,14.5,2.4411764705882355,7,15.32,37.0
Mujeeb Ur Rahman,11,7.090909090909091,12.5,2.272727272727273,3,19.5,36.84
LA Dawson,29,5.397586206896552,12.33,2.793103448275862,8,16.64,36.84
Junaid Khan,25,4.7608,12.17,2.08,7,14.3616,36.84
JP Faulkner,12,6.528333333333333,12.17,2.4166666666666665,3,18.43166666666667,36.84
SR Watson,26,6.846153846153846,13.0,3.269230769230769,8,20.673076923076923,36.34
Ghulam Mudassar,11,5.47,12.5,1.8181818181818181,2,14.94,36.0
Usman Shinwari,38,5.25421052631579,12.17,2.3947368421052633,7,15.495263157894739,35.34
L Wood,20,5.476,12.0,2.7,3,16.152,35.0
Mohammad Asghar,20,5.3915,12.33,2.45,6,16.358,35.0
RS Bopara,18,3.2788888888888885,11.17,1.9444444444444444,4,10.585555555555555,34.84
Mohammad Hasnain,44,5.034318181818182,13.0,2.0454545454545454,8,14.455,34.84
Sohail Khan,43,5.023255813953488,12.83,2.0232558139534884,10,14.569767441860465,34.66
Salman Irshad,40,4.35,12.33,1.95,7,12.9,34.66
Sameen Gul,23,3.7678260869565214,12.5,1.6521739130434783,3,11.187826086956521,34.5
Mustafizur Rahman,10,4.567,11.67,1.9,2,13.384,34.34
CR Brathwaite,17,3.411764705882353,12.33,1.2941176470588236,1,9.411764705882353,34.16
Zahid Mahmood,15,4.677333333333333,12.33,1.5333333333333334,3,12.921333333333333,34.16
Mohammad Irfan (4),20,6.3005,11.5,2.85,5,18.726,34.0
Bilawal Bhatti,8,4.00125,13.0,1.25,2,11.3775,34.0
Muhammad Musa,20,3.6674999999999995,12.17,1.4,4,10.635,33.84
S Mahmood,8,4.20875,12.17,1.375,1,11.355,33.84
Ubaid Shah,16,4.45875,12.17,2.25,1,12.855,33.84
B Muzarabani,15,6.1113333333333335,12.17,2.066666666666667,3,16.722666666666665,33.84
S Lamichhane,7,5.808571428571428,12.0,2.5714285714285716,2,17.18857142857143,33.5
Mohammad Imran (2),6,5.195,12.0,1.6666666666666667,1,14.056666666666667,33.5
