bowler,matches,total_balls_bowled,total_overs_bowled,avg_balls_per_match,avg_overs_per_match,total_wickets
Hasan Ali,95,2239,373.23,23.568421052631578,3.9287368421052635,0
Shadab Khan,96,2103,350.55,21.90625,3.6515625000000003,0
Shaheen Shah Afridi,88,2084,347.39,23.681818181818183,3.947613636363636,0
Wahab Riaz,86,2060,343.37,23.953488372093023,3.992674418604651,0
Imad Wasim,101,2049,341.54,20.287128712871286,3.381584158415842,0
Mohammad Amir,87,2048,341.37,23.54022988505747,3.923793103448276,0
Faheem Ashraf,86,1706,284.43,19.837209302325583,3.307325581395349,0
Haris Rauf,73,1680,280.03,23.013698630136986,3.8360273972602736,0
Sohail Tanvir,58,1329,221.53,22.913793103448278,3.8194827586206896,0
Naseem Shah,52,1213,202.23,23.326923076923077,3.8890384615384614,0
Mohammad Irfan,51,1186,197.71,23.254901960784313,3.876666666666667,0
Mohammad Nawaz (3),57,1147,191.2,20.12280701754386,3.3543859649122805,0
Usama Mir,52,1118,186.36,21.5,3.583846153846154,0
Umaid Asif,47,1067,177.87,22.70212765957447,3.784468085106383,0
Mohammad Wasim,47,1063,177.2,22.617021276595743,3.7702127659574467,0
Shahid Afridi,50,1030,171.71,20.6,3.4342,0
Rumman Raees,48,1024,170.68,21.333333333333332,3.5558333333333336,0
Mohammad Hasnain,44,1004,167.35,22.818181818181817,3.8034090909090907,0
Sohail Khan,43,984,164.02,22.88372093023256,3.8144186046511632,0
Imran Tahir,42,953,158.87,22.69047619047619,3.7826190476190478,0
Abbas Afridi,44,919,153.18,20.886363636363637,3.4813636363636364,0
D Wiese,53,906,151.02,17.09433962264151,2.8494339622641514,0
Anwar Ali,48,900,150.05,18.75,3.126041666666667,0
Salman Irshad,40,869,144.83,21.725,3.62075,0
Zaman Khan,39,853,142.19,21.871794871794872,3.6458974358974356,0
CJ Jordan,37,824,137.36,22.27027027027027,3.7124324324324327,0
Usman Shinwari,38,818,136.34,21.526315789473685,3.5878947368421055,0
Mohammad Sami,36,795,132.53,22.083333333333332,3.681388888888889,0
Abrar Ahmed,34,784,130.69,23.058823529411764,3.8438235294117646,0
TS Mills,29,686,114.34,23.655172413793103,3.942758620689655,0
Shoaib Malik,51,685,114.19,13.431372549019608,2.239019607843137,0
Mir Hamza,32,682,113.67,21.3125,3.5521875,0
Rashid Khan,28,678,113.02,24.214285714285715,4.036428571428571,0
Khushdil Shah,43,660,110.01,15.348837209302326,2.558372093023256,0
Mohammad Nawaz,36,645,107.52,17.916666666666668,2.9866666666666664,0
Rahat Ali,28,639,106.51,22.821428571428573,3.8039285714285715,0
SR Patel,34,617,102.86,18.147058823529413,3.025294117647059,0
Mohammad Nabi,29,595,99.19,20.517241379310345,3.4203448275862067,0
Aamer Yamin,32,589,98.18,18.40625,3.068125,0
Yasir Shah,27,580,96.68,21.48148148148148,3.580740740740741,0
Hassan Khan,34,575,95.85,16.91176470588235,2.8191176470588233,0
Junaid Khan,25,564,94.02,22.56,3.7607999999999997,0
Shahnawaz Dhani,27,558,93.0,20.666666666666668,3.4444444444444446,0
DJ Willey,26,541,90.18,20.807692307692307,3.468461538461539,0
Fawad Ahmed,23,537,89.51,23.347826086956523,3.891739130434783,0
Arshad Iqbal,24,517,86.17,21.541666666666668,3.5904166666666666,0
Sameen Gul,23,514,85.67,22.347826086956523,3.7247826086956524,0
LA Dawson,29,512,85.35,17.655172413793103,2.943103448275862,0
Aamer Jamal,26,488,81.34,18.76923076923077,3.1284615384615386,0
Mohammad Ilyas,26,477,79.53,18.346153846153847,3.058846153846154,0
SR Watson,26,467,77.86,17.96153846153846,2.9946153846153845,0
L Wood,20,464,77.35,23.2,3.8674999999999997,0
Mohammad Ali,21,461,76.84,21.952380952380953,3.659047619047619,0
Sikandar Raza,33,451,75.2,13.666666666666666,2.278787878787879,0
Mohammad Hafeez,35,447,74.5,12.771428571428572,2.1285714285714286,0
Waqas Maqsood,20,442,73.68,22.1,3.684,0
Zulfiqar Babar,18,439,73.17,24.38888888888889,4.065,0
