match_id,match_date,bowler,balls_bowled,runs_conceded,wickets_taken,overs_bowled
959175,2016-02-04,AD Russell,12,31,0,2.0
959175,2016-02-04,Akbar-ur-Rehman,12,8,0,2.0
959175,2016-02-04,Anwar Ali,20,21,0,3.33
959175,2016-02-04,Imran Khalid,24,20,0,4.0
959175,2016-02-04,Mohammad Irfan,18,33,0,3.0
959175,2016-02-04,Mohammad Nabi,25,20,0,4.17
959175,2016-02-04,Mohammad Nawaz (3),24,13,0,4.0
959175,2016-02-04,Rumman Raees,14,10,0,2.33
959175,2016-02-04,S Badree,18,25,0,3.0
959175,2016-02-04,SR Watson,13,13,0,2.17
959175,2016-02-04,Umar Gul,19,30,0,3.17
959175,2016-02-04,Zulfiqar Babar,24,36,0,4.0
959177,2016-02-05,Azhar Ali,12,12,0,2.0
959177,2016-02-05,CS Delport,11,15,0,1.83
959177,2016-02-05,DJ Bravo,13,27,0,2.17
959177,2016-02-05,Imad Wasim,24,28,0,4.0
959177,2016-02-05,KK Cooper,7,14,0,1.17
959177,2016-02-05,Mohammad Amir,25,29,0,4.17
959177,2016-02-05,RS Bopara,6,6,0,1.0
959177,2016-02-05,Shakib Al Hasan,25,26,0,4.17
959177,2016-02-05,Shoaib Malik,19,16,0,3.17
959177,2016-02-05,Sohail Tanvir,26,20,0,4.33
959177,2016-02-05,Zafar Gohar,18,29,0,3.0
959177,2016-02-05,Zia-ul-Haq,13,7,0,2.17
959177,2016-02-05,Zohaib Khan,24,27,0,4.0
959179,2016-02-05,AD Russell,29,32,0,4.83
959179,2016-02-05,Ashar Zaidi,24,37,0,4.0
959179,2016-02-05,Junaid Khan,25,31,0,4.17
959179,2016-02-05,Mohammad Asghar,26,20,0,4.33
959179,2016-02-05,Rumman Raees,25,20,0,4.17
959179,2016-02-05,SR Watson,24,37,0,4.0
959179,2016-02-05,SW Tait,26,24,0,4.33
959179,2016-02-05,Saeed Ajmal,24,19,0,4.0
959179,2016-02-05,Shahid Afridi,24,22,0,4.0
959179,2016-02-05,Wahab Riaz,24,24,0,4.0
959181,2016-02-06,Anwar Ali,28,37,0,4.67
959181,2016-02-06,Iftikhar Ahmed,2,7,0,0.33
959181,2016-02-06,Imad Wasim,24,31,0,4.0
959181,2016-02-06,Mohammad Amir,19,20,0,3.17
959181,2016-02-06,Mohammad Nabi,25,32,0,4.17
959181,2016-02-06,Mohammad Nawaz (3),24,19,0,4.0
959181,2016-02-06,RS Bopara,6,8,0,1.0
959181,2016-02-06,Shakib Al Hasan,25,43,0,4.17
959181,2016-02-06,Shoaib Malik,14,20,0,2.33
959181,2016-02-06,Sohail Tanvir,18,24,0,3.0
959181,2016-02-06,Umar Gul,26,41,0,4.33
959181,2016-02-06,Zulfiqar Babar,24,18,0,4.0
959183,2016-02-06,Adnan Rasool,27,37,0,4.5
959183,2016-02-06,BAW Mendis,25,23,0,4.17
959183,2016-02-06,CH Gayle,6,5,0,1.0
959183,2016-02-06,DJ Bravo,18,21,0,3.0
959183,2016-02-06,Junaid Khan,24,23,0,4.0
959183,2016-02-06,Mohammad Asghar,24,11,0,4.0
959183,2016-02-06,SW Tait,26,29,0,4.33
959183,2016-02-06,Shahid Afridi,24,19,0,4.0
959183,2016-02-06,Wahab Riaz,26,35,0,4.33
