column,missing_count
player_name,0
source,0
first_seen_match_id,0
last_seen_match_id,0
notes_x,447
batting_balls_faced,447
batting_runs_scored,447
batting_total_runs,447
batting_dismissals,447
batting_matches_played,447
batting_strike_rate,447
batting_average,447
bowling_balls,155
bowling_runs_conceded,155
bowling_wickets,155
bowling_matches_played,155
bowling_overs,155
bowling_economy,155
batting_hand,444
bowling_style,445
player_role,444
country,444
is_overseas,444
date_of_birth,447
notes_y,444
